FECHA,DIA,HORA,BARRIO,MES,ZONA,CLASE_DE_SITIO,ARMA_EMPLEADA,Móvil Agresor,MOVIL_VICTIMA,EDAD,ESTADO_CIVIL,PAIS_NACIMIENTO,CLASE_EMPLEADO,PROFESION,ESCOLARIDAD,Genero,DESCRIPCION_CONDUCTA
2011-06-20,Lunes,18:00:00,LA ESMERALDA E-13,jun.,URBANA,ESTACIONES DE SERVICIO,NO REPORTADO,CONDUCTOR MOTOCICLETA,A PIE,36.0,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,TECNICO,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2011-08-19,Viernes,23:45:00,CASA DE TEJA E-19,ago.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,CONDUCTOR TAXI,32.0,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2011-11-09,Miércoles,12:20:00,EL TUNAL E-6,nov.,URBANA,FRENTE A COLEGIO - VIA PUBLICA,NO REPORTADO,A PIE,A PIE,13.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2011-11-09,Miércoles,12:20:00,EL TUNAL E-6,nov.,URBANA,FRENTE A COLEGIO - VIA PUBLICA,NO REPORTADO,A PIE,A PIE,18.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-01-05,Jueves,23:00:00,SAN LUIS E-13,ene.,URBANA,TRANSPORTE PÚBLICO,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,A PIE,18.0,-,COLOMBIA,COMERCIANTE,-,-,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-01-09,Lunes,00:30:00,CIUDAD SALITRE II E-13,ene.,URBANA,VIAS PUBLICAS,NO REPORTADO,CONDUCTOR TAXI,CONDUCTOR TAXI,26.0,SOLTERO,COLOMBIA,EMPLEADO SALUD,MEDICINA,SUPERIOR,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-01-10,Martes,10:00:00,BELLA VISTA SUR E-4,ene.,URBANA,CASAS DE HABITACION,NO REPORTADO,A PIE,A PIE,11.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-01-12,Jueves,20:00:00,BRASILIA I SECTOR E-7,ene.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR VEHICULO,A PIE,59.0,CASADO,COLOMBIA,COMERCIANTE,-,PRIMARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-01-15,Domingo,18:00:00,TERMINAL,ene.,URBANA,TERMINAL DE TRANSPORTES,NO REPORTADO,CONDUCTOR TAXI,A PIE,18.0,SOLTERO,COLOMBIA,COMERCIANTE,-,-,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-01-19,Jueves,10:30:00,SAN BERNARDINO E-7,ene.,URBANA,FRENTE A COLEGIO - VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,A PIE,18.0,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,TECNICO,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-01-22,Domingo,16:20:00,PRADO VERANIEGO E-11,ene.,URBANA,LOCAL COMERCIAL,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,24.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,SUPERIOR,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-01-27,Viernes,08:00:00,LA GAITANA E-11,ene.,URBANA,BODEGAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18.0,NO REPORTA,COLOMBIA,COMERCIANTE,-,-,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2012-02-01,Miércoles,20:30:00,EL RETIRO I E-2,feb.,URBANA,FRENTE CENTRO COMERCIAL,NO REPORTADO,CONDUCTOR TAXI,A PIE,25.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,COMUNICACION SOCIAL- PERIODISMO,SUPERIOR,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2012-02-01,Miércoles,18:00:00,CHICO NORTE I E-2,feb.,URBANA,TRANSPORTE PÚBLICO,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18.0,-,COLOMBIA,COMERCIANTE,-,-,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
