FECHA,DIA,HORA,BARRIO,MES,ZONA,CLASE_DE_SITIO,ARMA_EMPLEADA,Móvil Agresor,MOVIL_VICTIMA,EDAD,ESTADO_CIVIL,PAIS_NACIMIENTO,CLASE_EMPLEADO,PROFESION,ESCOLARIDAD,Genero,DESCRIPCION_CONDUCTA
2015-05-12,Martes,16:01:00,VERACRUZ E-3,may.,URBANA,VIAS PUBLICAS,-,CONDUCTOR VEHICULO,A PIE,16.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2015-06-03,Miércoles,20:45:00,VILLA DEL RIO E-7,jun.,URBANA,VIAS PUBLICAS,-,CONDUCTOR VEHICULO,A PIE,21.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,TECNICO,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2015-07-14,Martes,20:45:00,EL RETIRO E-2,jul.,URBANA,CENTRO COMERCIAL,ARMA DE FUEGO,CONDUCTOR VEHICULO,A PIE,20.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2015-07-18,Sábado,00:30:00,CHAPINERO ALTO E-2,jul.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,31.0,SOLTERO,PERU,INDEPENDIENTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2015-09-01,Martes,15:30:00,LAS CRUCES E-3,sep.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,34.0,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2015-09-03,Jueves,14:00:00,LA RIVIERA E-10,sep.,URBANA,VIAS PUBLICAS,-,CONDUCTOR VEHICULO,CONDUCTOR MOTOCICLETA,23.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2015-09-09,Miércoles,15:30:00,LAS BRISAS E-19,sep.,URBANA,VIAS PUBLICAS,-,A PIE,A PIE,7.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2015-09-22,Martes,16:00:00,CHAPINERO CENTRAL E-2,sep.,URBANA,VIAS PUBLICAS,-,A PIE,A PIE,20.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2016-01-29,Viernes,23:00:00,CARVAJAL E-8,ene.,URBANA,DISCOTECAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,23.0,SOLTERO,COLOMBIA,PENSIONADO,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2016-02-05,Viernes,12:50:00,ALQUERIAS DE LA FRAGUA E-8,feb.,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,CONDUCTOR VEHICULO,A PIE,41.0,SOLTERO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2016-02-10,Miércoles,06:30:00,CIUDAD KENNEDY CENTRAL E-8,feb.,URBANA,"COLEGIOS, ESCUELAS",ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,12.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2016-03-11,Viernes,11:00:00,NIZA NORTE E-11,mar.,URBANA,TRANSPORTE PÚBLICO,ARMA DE FUEGO,CONDUCTOR VEHICULO,PASAJERO TAXI,37.0,CASADO,MEXICO,EMPLEADO PARTICULAR,-,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2016-03-20,Domingo,03:00:00,CHAPINERO CENTRAL E-2,mar.,URBANA,LOCAL COMERCIAL,ARMA DE FUEGO,A PIE,A PIE,41.0,SOLTERO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2016-04-21,Jueves,17:45:00,RICAURTE E-14,abr.,URBANA,TRANSPORTE PÚBLICO,ARMA DE FUEGO,CONDUCTOR TAXI,PASAJERO TAXI,53.0,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2016-04-23,Sábado,18:50:00,POLO CLUB E-12,abr.,URBANA,TRANSPORTE PÚBLICO,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,PASAJERO TAXI,50.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2016-04-24,Domingo,11:00:00,CHAPINERO NORTE E-2,abr.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR VEHICULO,CONDUCTOR VEHICULO,83.0,SOLTERO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2016-05-02,Lunes,17:10:00,CHAPINERO ALTO E-2,may.,URBANA,TRANSPORTE PÚBLICO,ARMA DE FUEGO,CONDUCTOR TAXI,PASAJERO TAXI,31.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,PSICOLOGIA,SUPERIOR,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2016-05-11,Miércoles,17:35:00,LA PEPITA E-14,may.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR TAXI,PASAJERO TAXI,23.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SUPERIOR,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2016-05-17,Martes,08:00:00,FRANCISCO JOSE DE CALDAS E-8,may.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR VEHICULO,A PIE,55.0,CASADO,COLOMBIA,COMERCIANTE,-,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2016-05-21,Sábado,16:30:00,URB. LOS MOLINOS E-1,may.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR VEHICULO,CONDUCTOR VEHICULO,41.0,CASADO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2016-07-28,Jueves,08:25:00,EL CEDRO E-10,jul.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR VEHICULO,CONDUCTOR VEHICULO,40.0,CASADO,COLOMBIA,EMPLEADO PARTICULAR,CONTADURIA,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2016-08-06,Sábado,23:01:00,CHAPINERO NORTE E-2,ago.,URBANA,DISCOTECAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,49.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SUPERIOR,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2016-08-17,Miércoles,18:30:00,SANTA TERESITA E-13,ago.,URBANA,INTERIOR VEHICULO SERVICIO PUBLICO,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,PASAJERO TAXI,51.0,SEPARADO,COLOMBIA,EMPLEADO PUBLICO,DERECHO,SUPERIOR,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2016-08-19,Viernes,16:20:00,QUIRIGUA I E-10,ago.,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,22.0,UNION LIBRE,COLOMBIA,AMA DE CASA,-,SECUNDARIA,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2016-08-19,Viernes,16:20:00,QUIRIGUA I E-10,ago.,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,24.0,UNION LIBRE,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2016-08-21,Domingo,08:00:00,CONJUNTO RESIDENCIAL TORRES DE CADIZ E-2,ago.,URBANA,APARTAMENTO,ARMA DE FUEGO,A PIE,A PIE,16.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2016-08-30,Martes,11:00:00,LA CATEDRAL E-17,ago.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR VEHICULO,A PIE,29.0,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,DERECHO,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2016-09-27,Martes,17:40:00,LA CALLEJA E-1,sep.,URBANA,TRANSPORTE PÚBLICO,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,PASAJERO TAXI,32.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2016-10-03,Lunes,15:00:00,LA URIBE E-1,oct.,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,79.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SOCIOLOGIA,SUPERIOR,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2016-10-21,Viernes,20:30:00,CARVAJAL E-8,oct.,URBANA,TRANSPORTE PÚBLICO,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,PASAJERO TAXI,48.0,CASADO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2016-11-16,Miércoles,13:20:00,BOSA E-7,nov.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR VEHICULO,A PIE,54.0,CASADO,COLOMBIA,AMA DE CASA,-,PRIMARIA,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2016-12-25,Domingo,20:00:00,MARCO FIDEL SUAREZ E-18,dic.,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,23.0,SOLTERO,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2016-12-25,Domingo,20:00:00,MARCO FIDEL SUAREZ E-18,dic.,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,54.0,SEPARADO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2017-01-20,Viernes,17:30:00,LOS CEDRITOS E-1,ene.,URBANA,TRANSPORTE PÚBLICO,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,PASAJERO TAXI,34.0,CASADO,COLOMBIA,EMPLEADO PUBLICO,DERECHO,SUPERIOR,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2017-02-18,Sábado,02:30:00,ANTIGUO COUNTRY E-2,feb.,URBANA,"BARES, CANTINAS Y SIMILARES",ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,25.0,SOLTERO,COLOMBIA,EMPLEADO SALUD,MEDICINA,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2017-05-12,Viernes,20:30:00,BRASILIA I SECTOR E-7,may.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR VEHICULO,A PIE,20.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2017-06-07,Miércoles,19:20:00,GILMAR E-11,jun.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR VEHICULO,A PIE,18.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2017-07-24,Lunes,12:00:00,TOCAREMA E-8,jul.,URBANA,PANADERIAS,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,45.0,UNION LIBRE,COLOMBIA,COMERCIANTE,-,TECNICO,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2017-07-28,Viernes,16:30:00,ISLA DEL SOL E-6,jul.,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,14.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2017-08-03,Jueves,13:00:00,ENGATIVA E-10,ago.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,13.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2017-10-17,Martes,20:20:00,SANTA BARBARA CENTRAL E-1,oct.,URBANA,CENTRO COMERCIAL,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,50.0,CASADO,COLOMBIA,PENSIONADO,-,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2017-12-12,Martes,08:00:00,ALQUERIAS DE LA FRAGUA E-8,dic.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR VEHICULO,A PIE,50.0,UNION LIBRE,COLOMBIA,COMERCIANTE,-,PRIMARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2018-01-15,Lunes,02:00:00,CIUDAD KENNEDY ORIENTAL E-8,ene.,URBANA,"BARES, CANTINAS Y SIMILARES",SIN EMPLEO DE ARMAS,A PIE,A PIE,29.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SUPERIOR,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2018-02-02,Viernes,18:51:00,EL EJIDO E-16,feb.,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,37.0,CASADO,COSTA RICA,DESEMPLEADO,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2018-02-02,Viernes,18:51:00,EL EJIDO E-16,feb.,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,39.0,UNION LIBRE,COSTA RICA,DESEMPLEADO,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2018-04-07,Sábado,18:35:00,PALOQUEMAO E-14,abr.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,29.0,SOLTERO,COLOMBIA,EMPLEADO POLICIAL,TECNOLOGO  EN ESTUDIOS POLICIALES,TECNOLOGO,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2018-04-22,Domingo,10:10:00,HIPOTECHO OCCIDENTAL E-8,abr.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,2.0,SOLTERO,COLOMBIA,DESEMPLEADO,-,ANALFABETA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2018-06-06,Miércoles,08:00:00,INGLES E-18,jun.,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,12.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2018-06-06,Miércoles,08:00:00,INGLES E-18,jun.,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,12.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2018-07-28,Sábado,19:00:00,CIUDAD JARDIN SUR E-15,jul.,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,26.0,UNION LIBRE,COLOMBIA,COMERCIANTE,-,SECUNDARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2018-07-28,Sábado,19:00:00,CIUDAD JARDIN SUR E-15,jul.,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,34.0,UNION LIBRE,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2018-07-28,Sábado,19:00:00,CIUDAD JARDIN SUR E-15,jul.,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,45.0,CASADO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2018-12-01,Sábado,10:30:00,MONTEBLANCO E-5,dic.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,1.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,ANALFABETA,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2019-01-27,Domingo,03:00:00,LAS VILLAS I SECTOR E-11,ene.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,27,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,DERECHO,SUPERIOR,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2019-03-06,Miércoles,19:30:00,EL DANUBIO AZUL E-7,mar.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,58,CASADO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2019-03-21,Jueves,20:30:00,GUADUAL E-9,mar.,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,31,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2019-04-03,Miércoles,12:00:00,SUCRE E-2,abr.,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,33,UNION LIBRE,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2019-04-16,Martes,17:00:00,BRASILIA I SECTOR E-7,abr.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,41,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2019-05-20,Lunes,11:30:00,SAN IGNACIO E-10,may.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,52,CASADO,COLOMBIA,COMERCIANTE,-,PRIMARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2019-06-14,Viernes,19:00:00,EDUARDO SANTOS E-14,jun.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,40,SOLTERO,VENEZUELA,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2019-07-08,Lunes,00:00:00,BOYACA E-10,jul.,URBANA,OTRO,ARMA DE FUEGO,A PIE,A PIE,29,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2019-07-15,Lunes,13:00:00,VILLA CLAUDIA E-8,jul.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR VEHICULO,A PIE,20,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2019-07-20,Sábado,21:40:00,MARIA PAZ E-8,jul.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR VEHICULO,A PIE,22,UNION LIBRE,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2019-12-08,Domingo,00:00:00,SANTA FE E-13,dic.,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,45,UNION LIBRE,COLOMBIA,EDUCADOR,-,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2019-12-31,Martes,11:00:00,CIUDAD BERNA E-15,dic.,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,20,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2019-12-31,Martes,11:00:00,CIUDAD BERNA E-15,dic.,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,27,SOLTERO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2019-12-31,Martes,11:00:00,CIUDAD BERNA E-15,dic.,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,29,SOLTERO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2019-12-31,Martes,11:00:00,CIUDAD BERNA E-15,dic.,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,61,UNION LIBRE,COLOMBIA,AMA DE CASA,-,SECUNDARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2020-01-12,Domingo,06:00:00,LAS NIEVES E-3,ene.,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,0,SOLTERO,VENEZUELA,ESTUDIANTE,-,ANALFABETA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2020-02-03,Lunes,12:30:00,SAMPER MENDOZA E-14,feb.,URBANA,HOSPITALES,SIN EMPLEO DE ARMAS,A PIE,A PIE,11,SOLTERO,COLOMBIA,ESTUDIANTE,-,NO REPORTADO,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2020-02-21,Viernes,05:28:00,CIUDAD KENNEDY CENTRAL E-8,feb.,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,48,CASADO,COLOMBIA,EMPLEADO PARTICULAR,INGENIERÍA CIVIL,SUPERIOR,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2020-02-25,Martes,19:30:00,MARTIRES E-14,feb.,URBANA,VEHICULO,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,49,SOLTERO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2020-03-02,Lunes,20:00:00,VILLA CLAUDIA E-8,mar.,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,47,CASADO,COLOMBIA,EMPLEADO PARTICULAR,INGENIERO,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2020-05-18,Lunes,09:30:00,EL TINTAL E-9,may.,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,22,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2020-05-28,Jueves,02:30:00,SANTA RITA II SECTOR E-16,may.,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,29,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2020-07-31,Viernes,22:20:00,SAN AGUSTIN SUR E-18,jul.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,25,SOLTERO,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2020-08-11,Martes,21:25:00,PUENTE GRANDE E-9,ago.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,23,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2020-08-15,Sábado,18:30:00,LA MARICHUELA E-5,ago.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,44,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2020-10-02,Viernes,20:35:00,LA CAPUCHINA E-3,oct.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,42,SOLTERO,COLOMBIA,COMERCIANTE,NO REPORTADA,SECUNDARIA,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2020-10-09,Viernes,19:30:00,EL MORISCO E-10,oct.,URBANA,CALLEJÓN,ARMA DE FUEGO,A PIE,A PIE,28,CASADO,COLOMBIA,EMPLEADO ARMADA/MARINA,CIENCIAS MILITARES,TECNOLOGO,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2020-10-17,Sábado,04:30:00,CHAPINERO NORTE E-2,oct.,URBANA,CAJERO AUTOMATICO,ARMA DE FUEGO,CONDUCTOR TAXI,A PIE,34,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,ESPECIALIZACION EN CIENCIAS Y TECNOLOGIA DE ALIMENTOS-INGENIERIA ALIMENTO,TECNOLOGO,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2020-11-01,Domingo,15:30:00,TUNJUELITO E-6,nov.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,40,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2020-11-19,Jueves,22:30:00,LA GAITANA E-11,nov.,URBANA,FRENTE A EDIFICIO - VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,26,SOLTERO,COLOMBIA,INDEPENDIENTE,TECNICO PROFESIONAL EN COCINA INTERNACIONAL,SUPERIOR,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
2020-11-27,Viernes,07:20:00,CHICO NORTE I E-2,nov.,URBANA,VEHICULO TAXI,SIN EMPLEO DE ARMAS,CONDUCTOR TAXI,A PIE,41,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,TECNICO,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2020-12-01,Martes,19:00:00,SAN ISIDRO E-4,dic.,URBANA,CENTRO COMERCIAL,SIN EMPLEO DE ARMAS,CONDUCTOR TAXI,A PIE,45,CASADO,COLOMBIA,EMPLEADO PARTICULAR,TERAPIA RESPIRATORIA,SUPERIOR,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2020-12-07,Lunes,18:00:00,CASA DE TEJA E-19,dic.,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,CONDUCTOR VEHICULO,A PIE,34,UNION LIBRE,COLOMBIA,ESTUDIANTE,-,SUPERIOR,FEMENINO,ARTÍCULO 168. SECUESTRO SIMPLE
2020-12-11,Viernes,08:45:00,FONTIBON E-9,dic.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,59,SOLTERO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 168. SECUESTRO SIMPLE
