FECHA,DIA,HORA,BARRIO,ZONA,CLASE_DE_SITIO,ARMA_EMPLEADA,MOVIL_VICTIMA,EDAD,ESTADO_CIVIL,PAIS_NACIMIENTO,CLASE_EMPLEADO,ESCOLARIDAD,DESCRIPCION_CONDUCTA
2010-03-30,Martes,08:40:00,MODELIA E-9,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,48,NO REPORTA,COLOMBIA,COMERCIANTE,NO REPORTADO,ARTÍCULO 244. EXTORSIÓN
2010-04-05,Lunes,10:20:00,CIUDAD BERNA E-15,URBANA,VIAS PUBLICAS,LLAMADA TELEFONICA,-,41,NO REPORTA,-,COMERCIANTE,NO REPORTADO,ARTÍCULO 244. EXTORSIÓN
2010-04-08,Jueves,20:00:00,CANDELARIA LA NUEVA I SECTOR E-19,URBANA,VIAS PUBLICAS,DIRECTA,-,47,NO REPORTA,-,COMERCIANTE,NO REPORTADO,ARTÍCULO 244. EXTORSIÓN
2010-04-08,Jueves,07:00:00,CASTILLA REAL E-8,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,52,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2010-04-13,Martes,07:00:00,LA CATEDRAL E-17,URBANA,UNIVERSIDADES,LLAMADA TELEFONICA,-,19,SOLTERO,-,NO REPORTA,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2010-04-21,Miércoles,12:40:00,-,URBANA,SECTOR COMERCIO,LLAMADA TELEFONICA,-,33,CASADO,-,COMERCIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-04-22,Jueves,07:00:00,LA ALQUERIA E-16,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,25,UNION LIBRE,COLOMBIA,COMERCIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-04-23,Viernes,11:00:00,-,URBANA,VIAS PUBLICAS,LLAMADA TELEFONICA,-,52,NO REPORTA,-,COMERCIANTE,NO REPORTADO,ARTÍCULO 244. EXTORSIÓN
2010-04-23,Viernes,07:00:00,TISQUESUSA E-10,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,54,SEPARADO,-,NO REPORTA,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2010-04-24,Sábado,14:22:00,EL TUNAL E-6,URBANA,CENTRO COMERCIAL,LLAMADA TELEFONICA,-,48,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2010-05-05,Miércoles,17:00:00,-,URBANA,NO DEFINIDO,LLAMADA TELEFONICA,-,34,NO REPORTA,COLOMBIA,COMERCIANTE,NO REPORTADO,ARTÍCULO 244. EXTORSIÓN
2010-05-09,Domingo,09:00:00,-,URBANA,VIAS PUBLICAS,LLAMADA TELEFONICA,-,39,SOLTERO,COLOMBIA,NO REPORTA,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2010-05-13,Jueves,11:45:00,CENTRO E-3,URBANA,VIAS PUBLICAS,LLAMADA TELEFONICA,-,43,CASADO,COLOMBIA,COMERCIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-05-21,Viernes,14:00:00,-,URBANA,NO DEFINIDO,LLAMADA TELEFONICA,-,51,NO REPORTA,-,COMERCIANTE,NO REPORTADO,ARTÍCULO 244. EXTORSIÓN
2010-05-26,Miércoles,13:20:00,SANTA ISABEL SUR E-14,URBANA,VIAS PUBLICAS,LLAMADA TELEFONICA,-,34,UNION LIBRE,COLOMBIA,COMERCIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-05-27,Jueves,15:00:00,PALOQUEMAO E-14,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,52,CASADO,COLOMBIA,COMERCIANTE,-,ARTÍCULO 244. EXTORSIÓN
2010-05-27,Jueves,10:30:00,CHICO NORTE I E-2,URBANA,VIAS PUBLICAS,LLAMADA TELEFONICA,-,53,CASADO,COLOMBIA,NO REPORTA,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2010-05-28,Viernes,10:20:00,-,URBANA,VIAS PUBLICAS,MIXTA,-,34,SOLTERO,COLOMBIA,NO REPORTA,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2010-05-28,Viernes,10:20:00,-,URBANA,VIAS PUBLICAS,LLAMADA TELEFONICA,-,41,UNION LIBRE,COLOMBIA,NO REPORTA,PRIMARIA,ARTÍCULO 244. EXTORSIÓN
2010-06-10,Jueves,11:20:00,SAN DIEGO E-3,URBANA,VIAS PUBLICAS,MIXTA,-,37,SOLTERO,COLOMBIA,COMERCIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-06-16,Miércoles,10:00:00,-,URBANA,CASAS DE HABITACION,DIRECTA,-,38,UNION LIBRE,COLOMBIA,COMERCIANTE,-,ARTÍCULO 244. EXTORSIÓN
2010-06-16,Miércoles,10:20:00,PATIO BONITO I E-8,URBANA,VIAS PUBLICAS,LLAMADA TELEFONICA,-,47,UNION LIBRE,COLOMBIA,COMERCIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-06-17,Jueves,10:20:00,-,URBANA,VIAS PUBLICAS,LLAMADA TELEFONICA,-,43,UNION LIBRE,COLOMBIA,NO REPORTA,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-06-21,Lunes,12:30:00,BELLO HORIZONTE E-4,URBANA,VIAS PUBLICAS,LLAMADA TELEFONICA,-,39,DIVORCIADO,COLOMBIA,NO REPORTA,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-06-21,Lunes,10:20:00,MONTEBLANCO E-5,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,34,UNION LIBRE,COLOMBIA,COMERCIANTE,PRIMARIA,ARTÍCULO 244. EXTORSIÓN
2010-06-30,Miércoles,10:00:00,-,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,24,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2010-07-01,Jueves,09:00:00,PALOQUEMAO E-14,URBANA,INSTALACIONES JUDICIALES,DIRECTA,-,40,UNION LIBRE,COLOMBIA,COMERCIANTE,-,ARTÍCULO 244. EXTORSIÓN
2010-07-02,Viernes,09:20:00,-,URBANA,VIAS PUBLICAS,LLAMADA TELEFONICA,-,70,CASADO,COLOMBIA,AMA DE CASA,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2010-07-03,Sábado,10:30:00,-,URBANA,APARTAMENTO,CARTA EXTORSIVA,-,23,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2010-07-08,Jueves,14:00:00,LOS CEDROS E-1,URBANA,APARTAMENTO,LLAMADA TELEFONICA,-,42,CASADO,COLOMBIA,EMPLEADO PARTICULAR,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2010-07-08,Jueves,14:00:00,-,URBANA,NO DEFINIDO,LLAMADA TELEFONICA,-,35,CASADO,COLOMBIA,AMA DE CASA,-,ARTÍCULO 244. EXTORSIÓN
2010-07-11,Domingo,09:00:00,SAN ANDRESITO LA 38 E-16,URBANA,"HOTELES, RESIDENCIAS, Y SIMILARES.",LLAMADA TELEFONICA,-,56,CASADO,COLOMBIA,COMERCIANTE,-,ARTÍCULO 244. EXTORSIÓN
2010-07-13,Martes,09:20:00,-,URBANA,VIAS PUBLICAS,LLAMADA TELEFONICA,-,28,SOLTERO,COLOMBIA,NO REPORTA,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2010-07-14,Miércoles,18:31:00,CIUDAD BERNA E-15,URBANA,CASAS DE HABITACION,CARTA EXTORSIVA,-,45,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-07-15,Jueves,10:00:00,ALFONSO LOPEZ E-5,URBANA,CASAS DE HABITACION,MIXTA,-,44,CASADO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-07-15,Jueves,10:00:00,ALFONSO LOPEZ E-5,URBANA,CASAS DE HABITACION,MIXTA,-,60,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA,ARTÍCULO 244. EXTORSIÓN
2010-07-18,Domingo,10:00:00,VILLA DEL MAR E-10,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,46,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,TECNICO,ARTÍCULO 244. EXTORSIÓN
2010-07-21,Miércoles,15:00:00,-,URBANA,OFICINAS,LLAMADA TELEFONICA,-,61,CASADO,COLOMBIA,COMERCIANTE,-,ARTÍCULO 244. EXTORSIÓN
2010-07-22,Jueves,11:10:00,SANTA LIBRADA E-5,URBANA,CASAS DE HABITACION,MIXTA,-,50,CASADO,COLOMBIA,EMPLEADO PARTICULAR,TECNOLOGO,ARTÍCULO 244. EXTORSIÓN
2010-07-27,Martes,10:00:00,-,URBANA,CASAS DE HABITACION,DIRECTA,-,23,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,TECNOLOGO,ARTÍCULO 244. EXTORSIÓN
2010-08-02,Lunes,10:00:00,BRASILIA I SECTOR E-7,URBANA,OFICINAS,LLAMADA TELEFONICA,-,39,UNION LIBRE,COLOMBIA,COMERCIANTE,-,ARTÍCULO 244. EXTORSIÓN
2010-08-03,Martes,14:00:00,-,URBANA,OFICINAS,LLAMADA TELEFONICA,-,42,CASADO,COLOMBIA,COMERCIANTE,-,ARTÍCULO 244. EXTORSIÓN
2010-08-04,Miércoles,16:20:00,-,URBANA,VIAS PUBLICAS,DIRECTA,-,49,NO REPORTA,COLOMBIA,NO REPORTA,NO REPORTADO,ARTÍCULO 244. EXTORSIÓN
2010-08-04,Miércoles,16:20:00,-,URBANA,APARTAMENTO,LLAMADA TELEFONICA,-,30,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2010-08-07,Sábado,10:00:00,CENTRO NORTE USAQUEN E-1,URBANA,VIAS PUBLICAS,DIRECTA,-,45,UNION LIBRE,COLOMBIA,COMERCIANTE,-,ARTÍCULO 244. EXTORSIÓN
2010-08-09,Lunes,09:40:00,-,URBANA,VIAS PUBLICAS,LLAMADA TELEFONICA,-,18,NO REPORTA,COLOMBIA,AMA DE CASA,NO REPORTADO,ARTÍCULO 244. EXTORSIÓN
2010-08-09,Lunes,20:02:00,TINTAL E-8,URBANA,APARTAMENTO,REDES SOCIALES,-,48,CASADO,COLOMBIA,EMPLEADO PARTICULAR,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2010-08-12,Jueves,22:45:00,-,URBANA,VIAS PUBLICAS,LLAMADA TELEFONICA,-,30,CASADO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-08-14,Sábado,10:00:00,TINTAL E-8,URBANA,CASAS DE HABITACION,DIRECTA,-,25,SOLTERO,COLOMBIA,COMERCIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-08-24,Martes,16:19:00,MARSELLA E-8,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,43,UNION LIBRE,COLOMBIA,COMERCIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-08-25,Miércoles,10:00:00,LAS ORQUIDEAS E-1,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,44,CASADO,COLOMBIA,COMERCIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-09-01,Miércoles,12:00:00,-,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,20,SOLTERO,COLOMBIA,ESTUDIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-09-08,Miércoles,12:30:00,ALAMOS NORTE E-10,URBANA,VIAS PUBLICAS,LLAMADA TELEFONICA,-,29,UNION LIBRE,COLOMBIA,COMERCIANTE,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2010-09-16,Jueves,09:00:00,LA COLINA CAMPESTRE I SECTOR E-11,URBANA,LOCAL COMERCIAL,DIRECTA,-,36,UNION LIBRE,COLOMBIA,COMERCIANTE,-,ARTÍCULO 244. EXTORSIÓN
2010-09-16,Jueves,22:00:00,HIPOTECHO OCCIDENTAL E-8,URBANA,PLAZAS DE MERCADO,LLAMADA TELEFONICA,-,19,SOLTERO,COLOMBIA,ESTUDIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
